id,creditPoint,lessonCode,lessonName
598,1.0,NDEC110002.04,军事理论
599,3.5,1352.1.1,数据库与信息检索
600,2.0,370.156.1,真核生物转录调控和RNA干扰
601,2.0,POLI110017,全球问题与治理
602,2.0,322.120.1.01,现代化学专题(现代化学技术)
603,2.0,HIST130056,20世纪中国社会思潮
604,5.5,MED130010.02,病理解剖学B
605,2.0,MED110043.01,大学生健康教育
606,8.0,344.008.1,高分子系毕业论文
607,3.0,219.123.1,普通物理B
608,2.0,FINE110014.04,中外音乐审美
609,4.0,MED130122.01,儿科实习
610,4.0,FORE130004.04,中级英语(下)
611,2.0,BIOL130093.01,生物热力学
612,1.0,PEDU110057.04,综合体育(一)(男)
613,2.0,340.010.1.01,金融法
614,3.0,227.028.1,民法I
615,4.0,357.147.1.01,卫生管理运筹学
616,1.5,356.016.1.02,精神医学
617,2.0,335.016.1,艺术品市场研究
618,1.0,PEDU110090.06,健美
619,3.0,CHEM130009.01,有机化学A(下)
620,3.0,MATH130058.01,寿险精算数学
621,3.0,INFO110004.05,VB程序设计
622,3.0,331.012.1,真空技术
623,3.0,318.093.1,计算方法
624,2.0,313.050.1,宣传心理学
625,2.0,CHIN130004,中国现当代文学史(上)
626,2.0,POLI130006.01,近代东方政治思想
627,2.0,PHIL110004.01,艺术哲学
628,3.0,ECON130051.02,企业管理
629,3.0,329.027.1,非电量电测技术
630,3.0,MANA130056.01,营销研究
631,2.0,INFO130098.01,Perl语言入门和提高
632,6.0,MED130004.02,生物化学
633,1.0,PEDU110100.06,综合体育
634,6.0,318.171.1.16,毕业论文(含专题讨论)
635,6.0,325.035.1,管科系毕业论文
636,2.0,604.021.1,小说艺术与名作欣赏
637,2.0,332.039.1.01,统计学实习调查
638,4.0,316.047.1,哲学系社会实践
639,2.0,LAWS130028.01,劳动法
640,2.0,MED130031.01,皮肤病学B
641,2.0,ENGL110033,高级英语视听说
642,2.0,CHEM130040,化学专业英语
643,2.0,312.031.2.01,日本文学选读(下)
644,5.0,218.121.2.02,数学分析Ⅱ
645,2.0,212.018.1,综合练习II
646,3.0,218.009.1,抽象代数
647,2.0,317.128.1.01,社会实践
648,2.0,ENGL110034,英语议论文写作
649,12.0,212.026.2,基础德语下
650,3.0,INFO130031.01,计算机通信与网络
651,1.0,102.001.3,体育(三)
652,1.5,356.171.1.02,肿瘤学概论
653,8.0,370.049.1,生命科学学院毕业论文
654,1.0,PEDU110012.16,排球(二)(女)
655,1.0,PHAR110009.01,医药及生物拉丁语
656,1.0,356.161.1.01,法医人类学
657,4.0,229.005.1,复变函数B
658,1.0,319.040.1,物理系生产实习
659,2.0,101.047.1.03,思想道德修养
660,6.0,FORE130075,日语III(下)
661,4.0,312.005.1,第二外语(日语)(上)
662,4.0,MED130026.02,外科学A
